n,simpleOps,karatsubaOps
1,84,3
2,221,69
3,416,333
4,669,481
5,980,1017
6,1349,1115
7,1776,1697
8,2261,1873
9,2804,2227
10,3405,2581
11,4064,2695
12,4781,3985
13,5556,3891
14,6389,5345
15,7280,5907
16,8229,5861
17,9236,7049
18,10301,7801
19,11424,7843
20,12605,7909
21,13844,9727
22,15141,9441
23,16496,9933
24,17909,11393
25,19380,13289
26,20909,14117
27,22496,15447
28,24141,14739
29,25844,15795
30,27605,17697
31,29424,18745
32,31301,19689
33,33236,20211
34,35229,20929
35,37280,23017
36,39389,21763
37,41556,23737
38,43781,24727
39,46064,26199
40,48405,25607
41,50804,27627
42,53261,28131
43,55776,30573
44,58349,31357
45,60980,32483
46,63669,32881
47,66416,35091
48,69221,33637
49,72084,35845
50,75005,39317
